city,longitude,latitude,weather_id,weather_main,weather_description,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,wind_gust,date_time,country,sunrise,sunset
Shirpur,74.8833,21.35,802,Clouds,scattered clouds,27.24,29.08,27.24,27.24,1012,68,10000,2.08,119,2.28,2024-10-23 00:17:23,IN,2024-10-23 06:29:11,2024-10-23 18:00:04
Mumbai,72.8479,19.0144,721,Haze,haze,29.99,33.22,29.99,29.99,1010,62,3000,2.06,270,N/A,2024-10-23 00:21:36,IN,2024-10-23 06:35:14,2024-10-23 18:10:18
Delhi,77.2167,28.6667,701,Mist,mist,24.05,24.55,24.05,24.05,1012,78,2500,1.54,240,N/A,2024-10-23 00:20:23,IN,2024-10-23 06:26:54,2024-10-23 17:43:41
Bengaluru,77.6033,12.9762,500,Rain,light rain,21.78,22.36,20.83,22.8,1013,90,6000,1.03,0,N/A,2024-10-23 00:16:40,IN,2024-10-23 06:11:00,2024-10-23 17:56:30
Hyderabad,78.4744,17.3753,500,Rain,light rain,22.73,23.51,22.73,22.73,1013,94,4000,2.06,0,N/A,2024-10-23 00:15:58,IN,2024-10-23 06:11:17,2024-10-23 17:49:15
Ahmedabad,72.6167,23.0333,721,Haze,haze,28.02,30.57,28.02,28.02,1011,69,4000,0,0,N/A,2024-10-23 00:19:42,IN,2024-10-23 06:39:49,2024-10-23 18:07:34
Chennai,80.2785,13.0878,801,Clouds,few clouds,29.01,36.01,27.79,29.44,1010,87,6000,1.03,0,N/A,2024-10-23 00:16:53,IN,2024-10-23 06:00:23,2024-10-23 17:45:43
Kolkata,88.3697,22.5697,721,Haze,haze,26.97,29.49,26.97,26.97,1010,78,3500,2.57,340,N/A,2024-10-23 00:21:26,IN,2024-10-23 05:36:21,2024-10-23 17:05:01
Surat,72.8333,21.1667,701,Mist,mist,27.99,33.54,27.99,27.99,1011,89,3000,2.06,30,N/A,2024-10-23 00:27:14,IN,2024-10-23 06:37:14,2024-10-23 18:08:26
Pune,73.8553,18.5196,803,Clouds,broken clouds,24.8,25.24,24.8,24.8,1012,73,10000,1.19,79,1.32,2024-10-23 00:20:15,IN,2024-10-23 06:30:46,2024-10-23 18:06:43
Jaipur,75.8167,26.9167,721,Haze,haze,26.62,26.62,26.62,26.62,1012,47,2500,2.06,10,N/A,2024-10-23 00:18:21,IN,2024-10-23 06:30:45,2024-10-23 17:51:03
Lucknow,80.9167,26.85,701,Mist,mist,24.99,25.71,24.99,24.99,1011,83,2000,1.03,0,N/A,2024-10-23 00:21:27,IN,2024-10-23 06:10:16,2024-10-23 17:30:43
Kanpur,80.35,26.4667,800,Clear,clear sky,24.37,24.22,24.37,24.37,1011,52,10000,2.34,19,2.37,2024-10-23 00:26:00,IN,2024-10-23 06:12:10,2024-10-23 17:33:22
Nagpur,79.1,21.15,701,Mist,mist,23.01,23.82,23.01,23.01,1012,94,2000,1.03,240,N/A,2024-10-23 00:15:24,IN,2024-10-23 06:12:08,2024-10-23 17:43:23
Indore,75.8333,22.7179,721,Haze,haze,22.1,22.53,22.1,22.1,1013,83,5000,0,0,N/A,2024-10-23 00:17:28,IN,2024-10-23 06:26:39,2024-10-23 17:55:00
Thāne,72.9667,19.2,721,Haze,haze,29.95,33.14,29.95,29.95,1011,62,3000,2.06,270,N/A,2024-10-23 00:17:28,IN,2024-10-23 06:34:55,2024-10-23 18:09:40
Bhopal,77.4,23.2667,800,Clear,clear sky,23.28,23.15,23.28,23.28,1013,57,10000,1.04,227,1.05,2024-10-23 00:27:15,IN,2024-10-23 06:20:54,2024-10-23 17:48:14
Visakhapatnam,83.2093,17.69,701,Mist,mist,25.94,27.2,25.94,25.94,1010,100,3000,1.03,0,N/A,2024-10-23 00:20:56,IN,2024-10-23 05:52:36,2024-10-23 17:30:03
Pimpri,73.8,18.6167,803,Clouds,broken clouds,24.96,25.42,24.96,24.96,1012,73,10000,0.95,76,1.05,2024-10-23 00:17:29,IN,2024-10-23 06:31:04,2024-10-23 18:06:51
Patna,85.1167,25.6,701,Mist,mist,26.96,31.04,26.96,26.96,1011,94,2500,0,0,N/A,2024-10-23 00:25:57,IN,2024-10-23 05:52:14,2024-10-23 17:15:09
Vadodara,73.2,22.3,800,Clear,clear sky,26.97,27.84,26.97,26.97,1011,57,10000,1.92,41,2.28,2024-10-23 00:17:29,IN,2024-10-23 06:36:48,2024-10-23 18:05:55
Ghaziabad,77.4333,28.6667,800,Clear,clear sky,24.08,23.64,24.08,24.08,1012,42,10000,0.15,62,0.39,2024-10-23 00:16:28,IN,2024-10-23 06:26:02,2024-10-23 17:42:49
Ludhiana,75.85,30.9,800,Clear,clear sky,22.39,21.81,22.39,22.39,1012,43,10000,0.71,39,0.74,2024-10-23 00:16:09,IN,2024-10-23 06:34:42,2024-10-23 17:46:49
Agra,78.0167,27.1833,800,Clear,clear sky,25.93,25.75,25.93,25.93,1012,45,10000,1.62,63,1.82,2024-10-23 00:16:21,IN,2024-10-23 06:22:12,2024-10-23 17:41:59
Nashik,73.8,19.9833,804,Clouds,overcast clouds,22.61,23.15,22.61,22.61,1013,85,10000,1.54,81,1.57,2024-10-23 00:17:30,IN,2024-10-23 06:32:17,2024-10-23 18:05:38
Faridabad,77.3167,28.4333,800,Clear,clear sky,24.14,23.63,24.14,24.14,1012,39,10000,0.39,157,0.54,2024-10-23 00:17:30,IN,2024-10-23 06:26:16,2024-10-23 17:43:31
Meerut,77.7,28.9833,800,Clear,clear sky,24.65,24.42,24.65,24.65,1012,48,10000,0.7,279,0.73,2024-10-23 00:18:39,IN,2024-10-23 06:25:18,2024-10-23 17:41:26
Rajkot,70.7833,22.3,800,Clear,clear sky,29.05,30.24,29.05,29.05,1012,54,10000,2.44,55,2.83,2024-10-23 00:17:31,IN,2024-10-23 06:46:28,2024-10-23 18:15:35
Kalyan,73.15,19.25,500,Rain,light rain,29.97,36.97,29.97,29.97,1011,81,10000,0.63,67,0.8,2024-10-23 00:16:53,IN,2024-10-23 06:34:14,2024-10-23 18:08:53
Varanasi,83,25.3333,701,Mist,mist,24.05,24.81,24.05,24.05,1011,88,1200,1.03,0,N/A,2024-10-23 00:17:31,IN,2024-10-23 06:00:27,2024-10-23 17:23:53
Srinagar,74.8167,34.0833,801,Clouds,few clouds,12.52,10.82,12.52,12.52,1019,38,10000,0.64,19,1.53,2024-10-23 00:26:28,IN,2024-10-23 06:42:21,2024-10-23 17:47:26
Aurangabad,75.3333,19.8833,701,Mist,mist,23.05,23.71,23.05,23.05,1013,88,2500,0,0,N/A,2024-10-23 00:17:32,IN,2024-10-23 06:26:04,2024-10-23 17:59:36
Dhanbad,86.45,23.8,804,Clouds,overcast clouds,23.59,23.75,23.59,23.59,1011,67,10000,0.91,334,0.98,2024-10-23 00:17:32,IN,2024-10-23 05:45:11,2024-10-23 17:11:33
Amritsar,74.8656,31.6331,741,Fog,fog,22.97,23.49,22.97,25.9,1012,83,700,0.51,0,N/A,2024-10-23 00:17:32,IN,2024-10-23 06:39:26,2024-10-23 17:49:58
